Date,Open,High,Low,Close
05/11/2022,"2,324.89","2,450.24","2,028.05","2,031.16"
05/10/2022,"2,290.90","2,455.64","2,200.75","2,321.92"
05/09/2022,"2,539.54","2,555.34","2,226.67","2,286.10"
05/08/2022,"2,673.55","2,675.47","2,487.11","2,539.33"
05/07/2022,"2,704.55","2,705.82","2,655.14","2,673.55"
05/06/2022,"2,754.92","2,757.25","2,631.83","2,704.81"
05/05/2022,"2,943.42","2,952.96","2,687.49","2,754.37"
05/04/2022,"2,784.72","2,967.03","2,771.68","2,943.42"
05/03/2022,"2,826.56","2,880.56","2,756.61","2,774.37"
05/02/2022,"2,816.67","2,872.27","2,781.13","2,827.69"
05/01/2022,"2,788.47","2,825.69","2,719.07","2,812.70"
04/30/2022,"2,806.12","2,840.85","2,773.73","2,788.47"
04/29/2022,"2,949.01","2,953.97","2,776.14","2,806.13"
04/28/2022,"2,865.24","2,979.97","2,855.90","2,948.97"
04/27/2022,"2,830.01","2,919.45","2,769.05","2,864.84"
04/26/2022,"2,997.37","3,033.32","2,799.98","2,828.63"
04/25/2022,"2,941.56","3,024.00","2,800.00","2,996.74"
04/24/2022,"2,963.57","2,969.55","2,912.05","2,941.25"
04/23/2022,"2,971.28","2,977.64","2,918.78","2,961.98"
04/22/2022,"3,001.41","3,030.71","2,935.60","2,971.28"
04/21/2022,"3,085.00","3,178.24","2,995.21","3,001.41"
04/20/2022,"3,094.73","3,165.50","3,040.00","3,085.00"
04/19/2022,"3,005.41","3,129.91","3,005.41","3,094.31"
04/18/2022,"3,045.85","3,075.32","2,886.94","3,005.18"
04/17/2022,"3,034.06","3,084.98","3,025.00","3,045.70"
04/16/2022,"3,030.16","3,057.36","3,012.67","3,034.06"
04/15/2022,"3,012.27","3,057.44","2,995.79","3,030.16"
04/14/2022,"3,105.73","3,143.96","2,977.69","3,011.47"
04/13/2022,"2,987.61","3,114.94","2,986.80","3,105.73"
04/12/2022,"2,991.72","3,083.37","2,952.45","2,987.70"
04/11/2022,"3,290.20","3,292.80","2,978.31","2,992.28"
04/10/2022,"3,226.05","3,307.43","3,226.05","3,290.16"
04/09/2022,"3,248.99","3,256.43","3,176.29","3,226.04"
04/08/2022,"3,239.72","3,313.02","3,200.01","3,247.98"
04/07/2022,"3,234.92","3,269.49","3,143.01","3,238.51"
04/06/2022,"3,437.98","3,460.86","3,176.45","3,235.47"
04/05/2022,"3,510.17","3,550.00","3,418.64","3,436.17"
04/04/2022,"3,495.01","3,580.00","3,414.22","3,510.17"
